steps,rewards,epsilon
360,0.0,0.97624
720,0.0,0.94825
1080,0.0,0.92112
1440,0.0,0.89482
1800,0.0,0.86934
2160,0.0,0.84464
2520,0.0,0.82069
2880,0.0,0.79749
3240,0.0,0.775
3600,0.0,0.7532
3731,0.6725,0.74544
4091,0.0,0.72455
4451,0.0,0.70431
4811,0.0,0.68469
5131,0.2,0.66775
5491,0.0,0.64926
5851,0.0,0.63133
6211,0.0,0.61396
6571,0.0,0.59712
6931,0.0,0.5808
7291,0.0,0.56498
7651,0.0,0.54965
8011,0.0,0.53478
8371,0.0,0.52038
8613,0.395,0.51095
8973,0.0,0.49728
9257,0.29,0.4868
9617,0.0,0.47387
9923,0.235,0.4632
9998,0.8125,0.46062
10269,0.3225,0.45147
10612,0.1425,0.44018
10888,0.31,0.43134
10915,0.9325,0.43048
10945,0.925,0.42954
11003,0.855,0.42771
11041,0.905,0.42653
11253,0.47,0.41996
11271,0.955,0.41941
11297,0.935,0.41862
11508,0.4725,0.41223
11537,0.9275,0.41136
11555,0.955,0.41082
11686,0.6725,0.40693
11711,0.9375,0.4062
11731,0.95,0.40561
11758,0.9325,0.40481
11777,0.9525,0.40426
11812,0.9125,0.40323
11898,0.785,0.40073
11910,0.97,0.40038
11929,0.9525,0.39983
11952,0.9425,0.39917
11972,0.95,0.39859
11997,0.9375,0.39787
12042,0.8875,0.39658
12071,0.9275,0.39575
12107,0.91,0.39473
12142,0.9125,0.39373
12156,0.965,0.39333
12168,0.97,0.39299
12192,0.94,0.39231
12208,0.96,0.39186
12219,0.9725,0.39155
12235,0.96,0.3911
12257,0.945,0.39048
12276,0.9525,0.38995
12291,0.9625,0.38953
12308,0.9575,0.38905
12348,0.9,0.38794
12373,0.9375,0.38724
12390,0.9575,0.38677
12401,0.9725,0.38646
12419,0.955,0.38596
12438,0.9525,0.38544
12470,0.92,0.38455
12486,0.96,0.38411
12498,0.97,0.38378
12525,0.9325,0.38304
12543,0.955,0.38254
12602,0.8525,0.38093
12616,0.965,0.38055
12634,0.955,0.38006
12645,0.9725,0.37976
12663,0.955,0.37927
12675,0.97,0.37895
12690,0.9625,0.37854
12705,0.9625,0.37813
12717,0.97,0.37781
12730,0.9675,0.37746
12746,0.96,0.37703
12766,0.95,0.37649
12779,0.9675,0.37614
12791,0.97,0.37582
12807,0.96,0.37539
12825,0.955,0.37491
12839,0.965,0.37453
12859,0.95,0.374
12872,0.9675,0.37365
12914,0.895,0.37254
12931,0.9575,0.37208
12973,0.895,0.37097
12986,0.9675,0.37063
13003,0.9575,0.37018
13017,0.965,0.36981
13055,0.905,0.36882
13067,0.97,0.3685
13083,0.96,0.36808
13094,0.9725,0.36779
13106,0.97,0.36748
13119,0.9675,0.36714
13136,0.9575,0.3667
13154,0.955,0.36623
13173,0.9525,0.36574
13184,0.9725,0.36545
13202,0.955,0.36499
13213,0.9725,0.3647
13230,0.9575,0.36426
13248,0.955,0.3638
13265,0.9575,0.36336
13282,0.9575,0.36292
13294,0.97,0.36261
13306,0.97,0.36231
13319,0.9675,0.36197
13334,0.9625,0.36159
13350,0.96,0.36118
13372,0.945,0.36062
13389,0.9575,0.36018
13404,0.9625,0.3598
13419,0.9625,0.35942
13438,0.9525,0.35894
13470,0.92,0.35813
13488,0.955,0.35767
13504,0.96,0.35727
13526,0.945,0.35671
13545,0.9525,0.35624
13557,0.97,0.35594
13572,0.9625,0.35556
13599,0.9325,0.35488
13642,0.8925,0.35381
13663,0.9475,0.35329
13690,0.9325,0.35262
13707,0.9575,0.35219
13724,0.9575,0.35177
13743,0.9525,0.3513
13754,0.9725,0.35103
13767,0.9675,0.35071
13787,0.95,0.35022
13800,0.9675,0.3499
13811,0.9725,0.34963
13823,0.97,0.34933
13843,0.95,0.34884
13858,0.9625,0.34848
13871,0.9675,0.34816
13892,0.9475,0.34765
13904,0.97,0.34735
13920,0.96,0.34696
13939,0.9525,0.3465
13970,0.9225,0.34575
14029,0.8525,0.34433
14072,0.8925,0.34329
14127,0.8625,0.34197
14141,0.965,0.34164
14158,0.9575,0.34124
14198,0.9,0.34028
14217,0.9525,0.33983
14234,0.9575,0.33943
14251,0.9575,0.33903
14264,0.9675,0.33872
14276,0.97,0.33844
14289,0.9675,0.33813
14328,0.9025,0.33721
14363,0.9125,0.33639
14429,0.835,0.33485
14443,0.965,0.33453
14459,0.96,0.33416
14530,0.8225,0.33251
14551,0.9475,0.33203
14577,0.935,0.33143
14699,0.695,0.32864
14864,0.5875,0.32492
14896,0.92,0.3242
14934,0.905,0.32336
14957,0.9425,0.32284
15010,0.8675,0.32167
15112,0.745,0.31942
15132,0.95,0.31898
15161,0.9275,0.31835
15177,0.96,0.318
15188,0.9725,0.31776
15203,0.9625,0.31743
15216,0.9675,0.31715
15248,0.92,0.31646
15262,0.965,0.31615
