config_id,performance,budget,budget_used,total_wallclock_time,total_optimization_time,agent.batch_size,agent.buffer_capacity,agent.dqn_hidden_size,agent.dqn_lr,agent.dqn_target_update_freq,agent.epsilon_decay,agent.epsilon_final,agent.gamma,agent.rnd_hidden_size,agent.rnd_lr,agent.rnd_output_size,agent.rnd_reward_weight,agent.rnd_update_freq
8,0.06420316301703163,105000.0,630000.0,4506.716912984848,0.004883289337158203,128,17012,32,0.0002075877597,297,82756,0.0261572611735,0.9676127787345,64,0.0001842423613,8,0.0874022113039,654
8,0.06420316301703163,105000.0,1260000.0,9517.402781963348,0.029358386993408203,128,17012,32,0.0002075877597,297,82756,0.0261572611735,0.9676127787345,64,0.0001842423613,8,0.0874022113039,654
8,0.06420316301703163,105000.0,2030000.0,16412.83118391037,0.6265652179718018,128,17012,32,0.0002075877597,297,82756,0.0261572611735,0.9676127787345,64,0.0001842423613,8,0.0874022113039,654
30,0.0601521164021164,35000.0,2730000.0,23415.690810918808,1.1594550609588623,64,89356,64,0.0001086274327,939,23249,0.06395364854,0.9677923143912,64,0.0002253777678,8,0.0025929572899,198
40,0.05235583684950773,105000.0,3360000.0,29005.187862873077,1.763936996459961,64,89356,64,0.0001086274327,939,23249,0.06395364854,0.9677923143912,64,0.0002253777678,8,0.0025929572899,198
57,0.047608266573783815,105000.0,4130000.0,34161.078083753586,2.440609931945801,32,64943,32,0.0001016378637,174,29798,0.1089743675753,0.9604477835745,64,0.0003393742396,8,0.0023745134767,485
62,0.04388344893240854,105000.0,4830000.0,38790.526577949524,3.1885597705841064,32,38999,32,0.0001870967341,158,23669,0.0764089992031,0.964660844406,64,0.0005734362214,8,0.0027625159715,215
70,0.04111609739881991,105000.0,5460000.0,42416.57417392731,4.020099639892578,128,11678,64,0.0001100567577,309,21702,0.0116336328126,0.9629865429357,32,0.0002173549022,16,0.0073884868316,331
70,0.04111609739881991,105000.0,6230000.0,46048.62239074707,4.935161590576172,128,11678,64,0.0001100567577,309,21702,0.0116336328126,0.9629865429357,32,0.0002173549022,16,0.0073884868316,331
70,0.04111609739881991,105000.0,6930000.0,49967.75499486923,5.902655839920044,128,11678,64,0.0001100567577,309,21702,0.0116336328126,0.9629865429357,32,0.0002173549022,16,0.0073884868316,331
