config_id,budget,performance,agent.batch_size,agent.buffer_capacity,agent.dqn_hidden_size,agent.dqn_lr,agent.dqn_target_update_freq,agent.epsilon_decay,agent.epsilon_final,agent.gamma
0,20000.0,0.6039215686274509,128,31440,32,0.0002625394157,662,54510,0.1602642391931,0.9529029168638
1,20000.0,0.9109375,64,30609,32,0.000484417139,680,61040,0.2608558730739,0.9828558739634
2,20000.0,0.4047222222222222,64,59100,64,0.0001601224586,315,43878,0.2504526031365,0.9790602103966
3,60000.0,0.793438003220612,128,17751,32,0.0007552964377,853,47183,0.2505849742243,0.9829110507737
4,60000.0,0.04404520917678813,128,53757,32,0.0001065093154,603,13606,0.0891844925229,0.9701776060695
5,20000.0,0.49236111111111114,64,11844,32,0.0006155726679,379,20835,0.1525562161913,0.984288159641
6,20000.0,0.49005847953216375,64,19552,32,0.0001268311723,481,92568,0.025475138084,0.9550143870126
7,20000.0,0.8296875,128,45437,64,0.0002804745928,456,85040,0.1764941055927,0.9702887434032
8,60000.0,0.1085369400814427,64,59100,64,0.0001601224586,315,43878,0.2504526031365,0.9790602103966
9,60000.0,0.7827272727272728,64,38114,64,0.0008102060897,255,66738,0.0525512867227,0.9840256077287
10,60000.0,0.08338122605363985,256,10015,32,0.0001966138685,413,54810,0.180898605702,0.9702947842068
11,60000.0,0.10795068027210886,64,19552,32,0.0001268311723,481,92568,0.025475138084,0.9550143870126
12,20000.0,0.3092222222222222,64,63717,64,0.0001378086084,852,21274,0.2277733058679,0.9972771623103
13,20000.0,0.5609848484848485,128,72978,64,0.0006417875511,608,32807,0.1111805191736,0.9825086333931
14,20000.0,0.2009416195856874,256,49358,64,0.0001355668977,605,13226,0.2109770419336,0.9862215429785
15,60000.0,0.09984756097560976,256,49358,64,0.0001355668977,605,13226,0.2109770419336,0.9862215429785
16,60000.0,0.07026558891454965,64,44910,64,0.0001033047762,613,14405,0.1904003015784,0.9809850591942
17,60000.0,0.5573192239858906,256,98293,64,0.0002310643187,978,82838,0.1744701840815,0.9838642023798
18,20000.0,0.744753086419753,64,48276,64,0.0001118974188,619,10247,0.0869056360616,0.9866566201848
19,20000.0,0.6706140350877193,64,68748,64,0.0003986093816,554,51364,0.1881159873803,0.9786438409002
20,20000.0,0.2062222222222222,64,11797,64,0.0001202509107,207,42624,0.2266397410483,0.95957610107
21,60000.0,0.11946138211382114,128,66726,64,0.0003394244117,574,95836,0.0702911458966,0.952361028993
22,60000.0,0.9693287037037036,64,59811,64,0.0001290413857,607,12440,0.1791886717706,0.9915756322749
23,20000.0,0.30477777777777776,128,56560,64,0.0001059827788,729,33309,0.108325972066,0.9744575158172
24,20000.0,0.48333333333333334,128,51901,32,0.0001169031651,731,74606,0.1878805242782,0.960952900925
25,20000.0,0.09152298850574714,128,78747,32,0.0001129432732,737,19495,0.1414776181067,0.9513629715568
26,60000.0,0.07574750830564783,64,11797,64,0.0001202509107,207,42624,0.2266397410483,0.95957610107
27,60000.0,0.047352024922118374,128,58515,32,0.0001123116309,723,11799,0.1847909560928,0.9623307420363
28,60000.0,0.044738628649015615,128,95090,32,0.0001007831719,736,12601,0.0655227556331,0.9646251701597
29,20000.0,0.2601449275362319,128,68647,32,0.0001389328124,747,30894,0.2385676006676,0.9699534887611
30,20000.0,0.18134920634920637,128,66394,32,0.0007834241801,170,20121,0.2482619870229,0.9640244669043
31,20000.0,0.575,128,51878,32,0.000133436856,942,68461,0.1405600902341,0.9664382437183
32,60000.0,0.0484869976359338,128,78747,32,0.0001129432732,737,19495,0.1414776181067,0.9513629715568
33,60000.0,0.049529995775242926,128,53125,32,0.0001012611484,138,25904,0.1245554577025,0.9514053628282
34,60000.0,0.06141808924827793,128,56560,64,0.0001059827788,548,21593,0.1000779112714,0.978651587938
35,60000.0,0.05498330948974726,128,66394,32,0.0007834241801,170,20121,0.2482619870229,0.9640244669043
36,20000.0,0.5097953216374269,64,47782,64,0.0001850650778,664,52196,0.1415379804232,0.9981752829126
37,20000.0,0.8446296296296296,64,51295,32,0.0007826124666,804,46026,0.2829341988491,0.9715137699223
38,20000.0,0.06046296296296296,128,53989,64,0.000103473797,520,12939,0.1088239651509,0.9626127784421
39,60000.0,0.046481051817478726,128,53757,64,0.0001009544054,476,13606,0.0891844925229,0.9711740902249
40,60000.0,0.05157170923379175,128,56124,64,0.000100884508,524,24639,0.0942088534421,0.9643740320707
41,60000.0,0.048423159539152515,128,53989,64,0.000103473797,520,12939,0.1088239651509,0.9626127784421
42,20000.0,0.7371345029239765,128,53494,64,0.0001017575405,395,36750,0.1433573453498,0.9952729783947
43,20000.0,0.7615497076023391,128,25625,32,0.0001143074736,826,15067,0.0262953619526,0.9656039265638
44,20000.0,0.06971153846153846,128,25270,32,0.0001127267711,809,13390,0.0408812256973,0.9685654230712
45,60000.0,0.04256136406220723,128,25270,32,0.0001127267711,809,13390,0.0408812256973,0.9685654230712
46,60000.0,0.16547248182762203,64,28485,64,0.0003569821604,534,90739,0.1668645893635,0.9579125499249
47,60000.0,0.4974673202614379,64,53426,64,0.0006864064293,157,96450,0.191914720489,0.9907330258025
48,20000.0,0.4395061728395062,64,17622,64,0.0001637916676,874,47886,0.2278215437559,0.9920915867352
49,20000.0,1.0,128,39358,32,0.0001156608419,729,13943,0.0559410971766,0.9659675349471
